Geneid	Chr	Start	End	Strand	Length	gene_name	Excel_name	gene_type
ENSG00000124939	chr11	62208673	62213943	+	5271	SCGB2A1	'SCGB2A1	protein_coding
ENSG00000124942	chr11	62433542	62556235	-	122694	AHNAK	'AHNAK	protein_coding
ENSG00000125037	chr3	9962537	10011116	-	48580	EMC3	'EMC3	protein_coding
ENSG00000125046	chr3	8619400	8745040	-	125641	SSUH2	'SSUH2	protein_coding
ENSG00000125084	chr12	48978322	48982620	+	4299	WNT1	'WNT1	protein_coding
ENSG00000125089	chr4	8182072	8241803	+	59732	SH3TC1	'SH3TC1	protein_coding
ENSG00000125107	chr16	58519951	58629885	-	109935	CNOT1	'CNOT1	protein_coding
ENSG00000125122	chr16	67207139	67227048	-	19910	LRRC29	'LRRC29	protein_coding
ENSG00000125124	chr16	56466836	56520087	-	53252	BBS2	'BBS2	protein_coding
ENSG00000125144	chr16	56666731	56668065	-	1335	MT1G	'MT1G	protein_coding
ENSG00000125148	chr16	56608584	56609497	+	914	MT2A	'MT2A	protein_coding
ENSG00000125149	chr16	67109941	67148544	+	38604	C16orf70	'C16orf70	protein_coding
ENSG00000125166	chr16	58707131	58734342	-	27212	GOT2	'GOT2	protein_coding
ENSG00000125170	chr16	57471922	57487327	-	15406	DOK4	'DOK4	protein_coding
ENSG00000125207	chr12	130337887	130372637	+	34751	PIWIL1	'PIWIL1	protein_coding
ENSG00000125245	chr13	99254714	99261744	-	7031	GPR18	'GPR18	protein_coding
ENSG00000125246	chr13	99606669	99897134	+	290466	CLYBL	'CLYBL	protein_coding
ENSG00000125247	chr13	100603927	100675093	-	71167	TMTC4	'TMTC4	protein_coding
ENSG00000125249	chr13	97434169	97469128	+	34960	RAP2A	'RAP2A	protein_coding
ENSG00000125255	chr13	103043998	103066417	-	22420	SLC10A2	'SLC10A2	protein_coding
ENSG00000125257	chr13	95019835	95301475	-	281641	ABCC4	'ABCC4	protein_coding
ENSG00000125266	chr13	106489745	106535662	-	45918	EFNB2	'EFNB2	protein_coding
ENSG00000125285	chr13	94709622	94712545	-	2924	SOX21	'SOX21	protein_coding
ENSG00000125304	chr13	99446311	99564048	+	117738	TM9SF2	'TM9SF2	protein_coding
ENSG00000125319	chr17	44141906	44162476	+	20571	C17orf53	'C17orf53	protein_coding
ENSG00000125337	chr6	167996241	168045095	+	48855	KIF25	'KIF25	protein_coding
ENSG00000125347	chr5	132481609	132490777	-	9169	IRF1	'IRF1	protein_coding
ENSG00000125351	chrX	119805311	119852998	-	47688	UPF3B	'UPF3B	protein_coding
ENSG00000125352	chrX	119870475	119871733	-	1259	RNF113A	'RNF113A	protein_coding
ENSG00000125354	chrX	119615724	119693370	-	77647	SEPTIN6	'SEPTIN6	protein_coding
ENSG00000125355	chrX	120258650	120311556	-	52907	TMEM255A	'TMEM255A	protein_coding
ENSG00000125356	chrX	119871832	119876662	+	4831	NDUFA1	'NDUFA1	protein_coding
ENSG00000125363	chrX	11293413	11300761	+	7349	AMELX	'AMELX	protein_coding
ENSG00000125375	chr14	50312324	50335558	+	23235	DMAC2L	'DMAC2L	protein_coding
ENSG00000125378	chr14	53949736	53958761	-	9026	BMP4	'BMP4	protein_coding
ENSG00000125384	chr14	52314305	52328598	+	14294	PTGER2	'PTGER2	protein_coding
ENSG00000125386	chr4	2536631	2732565	+	195935	FAM193A	'FAM193A	protein_coding
ENSG00000125388	chr4	2963571	3040760	+	77190	GRK4	'GRK4	protein_coding
ENSG00000125398	chr17	72121020	72126416	+	5397	SOX9	'SOX9	protein_coding
ENSG00000125409	chr17	15303811	15341632	-	37822	TEKT3	'TEKT3	protein_coding
ENSG00000125414	chr17	10521148	10549700	-	28553	MYH2	'MYH2	protein_coding
ENSG00000125430	chr17	14301081	14349404	+	48324	HS3ST3B1	'HS3ST3B1	protein_coding
ENSG00000125434	chr17	8287763	8295400	-	7638	SLC25A35	'SLC25A35	protein_coding
ENSG00000125445	chr17	75261674	75266376	+	4703	MRPS7	'MRPS7	protein_coding
ENSG00000125447	chr17	75236599	75262363	-	25765	GGA3	'GGA3	protein_coding
ENSG00000125449	chr17	75109952	75130272	+	20321	ARMC7	'ARMC7	protein_coding
ENSG00000125450	chr17	75205659	75235758	+	30100	NUP85	'NUP85	protein_coding
ENSG00000125454	chr17	75272981	75289510	-	16530	SLC25A19	'SLC25A19	protein_coding
ENSG00000125457	chr17	75266228	75271227	-	5000	MIF4GD	'MIF4GD	protein_coding
ENSG00000125458	chr17	75130225	75131757	-	1533	NT5C	'NT5C	protein_coding
ENSG00000125459	chr1	155610205	155614967	+	4763	MSTO1	'MSTO1	protein_coding
ENSG00000125462	chr1	156404250	156456763	-	52514	C1orf61	'C1orf61	protein_coding
ENSG00000125482	chr9	132375548	132406851	-	31304	TTF1	'TTF1	protein_coding
ENSG00000125484	chr9	132670035	132694953	+	24919	GTF3C4	'GTF3C4	protein_coding
ENSG00000125485	chr9	132592997	132670401	-	77405	DDX31	'DDX31	protein_coding
ENSG00000125492	chr9	132582606	132590252	+	7647	BARHL1	'BARHL1	protein_coding
ENSG00000125498	chr19	54769793	54784322	+	14530	KIR2DL1	'KIR2DL1	protein_coding
ENSG00000125503	chr19	55090914	55117637	-	26724	PPP1R12C	'PPP1R12C	protein_coding
ENSG00000125505	chr19	54173412	54189882	-	16471	MBOAT7	'MBOAT7	protein_coding
ENSG00000125508	chr20	63540810	63547504	-	6695	SRMS	'SRMS	protein_coding
ENSG00000125510	chr20	64080082	64100643	+	20562	OPRL1	'OPRL1	protein_coding
ENSG00000125514	chr20	63034217	63037028	-	2812	LINC00029	'LINC00029	lncRNA
ENSG00000125520	chr20	63739776	63744050	+	4275	SLC2A4RG	'SLC2A4RG	protein_coding
ENSG00000125522	chr20	64105820	64107171	-	1352	NPBWR2	'NPBWR2	protein_coding
ENSG00000125531	chr20	63547891	63556695	+	8805	FNDC11	'FNDC11	protein_coding
ENSG00000125533	chr20	63005927	63007035	-	1109	BHLHE23	'BHLHE23	protein_coding
ENSG00000125534	chr20	63520765	63522206	+	1442	PPDPF	'PPDPF	protein_coding
ENSG00000125538	chr2	112829751	112836816	-	7066	IL1B	'IL1B	protein_coding
ENSG00000125551	chr2	87748087	87759476	+	11390	PLGLB2	'PLGLB2	protein_coding
ENSG00000125571	chr2	112912971	112918882	+	5912	IL37	'IL37	protein_coding
ENSG00000125611	chr2	112584240	112589275	+	5036	CHCHD5	'CHCHD5	protein_coding
ENSG00000125618	chr2	113215997	113278921	-	62925	PAX8	'PAX8	protein_coding
ENSG00000125629	chr2	118088452	118110997	+	22546	INSIG2	'INSIG2	protein_coding
ENSG00000125630	chr2	112541915	112577150	+	35236	POLR1B	'POLR1B	protein_coding
ENSG00000125633	chr2	117915478	118014133	-	98656	CCDC93	'CCDC93	protein_coding
ENSG00000125637	chr2	113157325	113209396	+	52072	PSD4	'PSD4	protein_coding
ENSG00000125648	chr19	6436079	6465203	-	29125	SLC25A23	'SLC25A23	protein_coding
ENSG00000125650	chr19	6375148	6379058	-	3911	PSPN	'PSPN	protein_coding
ENSG00000125651	chr19	6379572	6393981	-	14410	GTF2F1	'GTF2F1	protein_coding
ENSG00000125652	chr19	6372794	6375250	+	2457	ALKBH7	'ALKBH7	protein_coding
ENSG00000125656	chr19	6361531	6370242	+	8712	CLPP	'CLPP	protein_coding
ENSG00000125657	chr19	6531026	6535924	+	4899	TNFSF9	'TNFSF9	protein_coding
ENSG00000125675	chrX	123184153	123490915	+	306763	GRIA3	'GRIA3	protein_coding
ENSG00000125676	chrX	123600561	123733056	-	132496	THOC2	'THOC2	protein_coding
ENSG00000125686	chr17	39404285	39451272	-	46988	MED1	'MED1	protein_coding
ENSG00000125691	chr17	38847860	38853764	-	5905	RPL23	'RPL23	protein_coding
ENSG00000125703	chr1	62784132	62865516	+	81385	ATG4C	'ATG4C	protein_coding
ENSG00000125726	chr19	6583183	6604103	-	20921	CD70	'CD70	protein_coding
ENSG00000125730	chr19	6677704	6730562	-	52859	C3	'C3	protein_coding
ENSG00000125731	chr19	6752160	6767463	-	15304	SH2D3A	'SH2D3A	protein_coding
ENSG00000125733	chr19	6737925	6751530	+	13606	TRIP10	'TRIP10	protein_coding
ENSG00000125734	chr19	6729914	6737603	-	7690	GPR108	'GPR108	protein_coding
ENSG00000125735	chr19	6661253	6670588	-	9336	TNFSF14	'TNFSF14	protein_coding
ENSG00000125740	chr19	45467995	45475179	+	7185	FOSB	'FOSB	protein_coding
ENSG00000125741	chr19	45527427	45602212	-	74786	OPA3	'OPA3	protein_coding
ENSG00000125743	chr19	45687454	45692569	-	5116	SNRPD2	'SNRPD2	protein_coding
ENSG00000125744	chr19	45485294	45497055	-	11762	RTN2	'RTN2	protein_coding
ENSG00000125746	chr19	45606994	45645629	-	38636	EML2	'EML2	protein_coding
ENSG00000125753	chr19	45506579	45526983	+	20405	VASP	'VASP	protein_coding
ENSG00000125755	chr19	45815410	45863194	-	47785	SYMPK	'SYMPK	protein_coding
ENSG00000125772	chr20	5544399	5611006	-	66608	GPCPD1	'GPCPD1	protein_coding
ENSG00000125775	chr20	1309909	1329139	-	19231	SDCBP2	'SDCBP2	protein_coding
ENSG00000125779	chr20	3888839	3929882	+	41044	PANK2	'PANK2	protein_coding
ENSG00000125780	chr20	2296001	2341079	+	45079	TGM3	'TGM3	protein_coding
ENSG00000125787	chr20	3043622	3045747	+	2126	GNRH2	'GNRH2	protein_coding
ENSG00000125788	chr20	142590	145751	+	3162	DEFB126	'DEFB126	protein_coding
ENSG00000125798	chr20	22581005	22585455	-	4451	FOXA2	'FOXA2	protein_coding
ENSG00000125804	chr20	25985210	26086917	+	101708	FAM182A	'FAM182A	lncRNA
ENSG00000125810	chr20	23079360	23086324	-	6965	CD93	'CD93	protein_coding
ENSG00000125812	chr20	23362182	23373062	+	10881	GZF1	'GZF1	protein_coding
ENSG00000125813	chr20	21705659	21718486	+	12828	PAX1	'PAX1	protein_coding
ENSG00000125814	chr20	23374519	23421519	-	47001	NAPB	'NAPB	protein_coding
ENSG00000125815	chr20	23491101	23496010	+	4910	CST8	'CST8	protein_coding
ENSG00000125816	chr20	21395365	21397526	-	2162	NKX2-4	'NKX2-4	protein_coding
ENSG00000125817	chr20	3783851	3786740	-	2890	CENPB	'CENPB	protein_coding
ENSG00000125818	chr20	1113240	1189415	+	76176	PSMF1	'PSMF1	protein_coding
ENSG00000125820	chr20	21511017	21514064	-	3048	NKX2-2	'NKX2-2	protein_coding
ENSG00000125821	chr20	18587893	18766644	+	178752	DTD1	'DTD1	protein_coding
ENSG00000125823	chr20	23439685	23444930	+	5246	CSTL1	'CSTL1	protein_coding
ENSG00000125826	chr20	407498	430966	+	23469	RBCK1	'RBCK1	protein_coding
ENSG00000125827	chr20	7977346	8019805	-	42460	TMX4	'TMX4	protein_coding
ENSG00000125831	chr20	23450403	23452876	-	2474	CST11	'CST11	protein_coding
ENSG00000125834	chr20	2101827	2177038	+	75212	STK35	'STK35	protein_coding
ENSG00000125835	chr20	2461634	2470853	-	9220	SNRPB	'SNRPB	protein_coding
ENSG00000125841	chr20	346782	359660	+	12879	NRSN2	'NRSN2	protein_coding
ENSG00000125843	chr20	3820524	3828838	+	8315	AP5S1	'AP5S1	protein_coding
ENSG00000125844	chr20	17613678	17682295	-	68618	RRBP1	'RRBP1	protein_coding
ENSG00000125845	chr20	6767686	6780246	+	12561	BMP2	'BMP2	protein_coding
ENSG00000125846	chr20	18288283	18316996	+	28714	ZNF133	'ZNF133	protein_coding
ENSG00000125848	chr20	14322985	14337614	-	14630	FLRT3	'FLRT3	protein_coding
ENSG00000125850	chr20	17956979	18059188	-	102210	OVOL2	'OVOL2	protein_coding
ENSG00000125851	chr20	17226107	17484578	+	258472	PCSK2	'PCSK2	protein_coding
ENSG00000125861	chr20	3659292	3663399	-	4108	GFRA4	'GFRA4	protein_coding
ENSG00000125863	chr20	10401009	10434222	-	33214	MKKS	'MKKS	protein_coding
ENSG00000125864	chr20	17493905	17569220	-	75316	BFSP1	'BFSP1	protein_coding
ENSG00000125868	chr20	17570075	17609919	+	39845	DSTN	'DSTN	protein_coding
ENSG00000125869	chr20	9514358	9530524	+	16167	LAMP5	'LAMP5	protein_coding
ENSG00000125870	chr20	16729961	16742564	+	12604	SNRPB2	'SNRPB2	protein_coding
ENSG00000125871	chr20	17969018	17991122	+	22105	MGME1	'MGME1	protein_coding
ENSG00000125872	chr20	6040546	6054060	-	13515	LRRN4	'LRRN4	protein_coding
ENSG00000125875	chr20	435480	462543	-	27064	TBC1D20	'TBC1D20	protein_coding
ENSG00000125877	chr20	3208868	3223870	+	15003	ITPA	'ITPA	protein_coding
ENSG00000125878	chr20	603797	610398	-	6602	TCF15	'TCF15	protein_coding
ENSG00000125879	chr20	16748358	16770062	+	21705	OTOR	'OTOR	protein_coding
ENSG00000125885	chr20	5950652	5998977	+	48326	MCM8	'MCM8	protein_coding
ENSG00000125888	chr20	17693672	17735871	+	42200	BANF2	'BANF2	protein_coding
ENSG00000125895	chr20	1180561	1185415	-	4855	TMEM74B	'TMEM74B	protein_coding
ENSG00000125898	chr20	833715	857463	+	23749	FAM110A	'FAM110A	protein_coding
ENSG00000125899	chr20	10996293	11029455	+	33163	C20orf187	'C20orf187	lncRNA
ENSG00000125900	chr20	1534251	1557705	-	23455	SIRPD	'SIRPD	protein_coding
ENSG00000125901	chr20	3046052	3048250	+	2199	MRPS26	'MRPS26	protein_coding
ENSG00000125903	chr20	227258	229886	+	2629	DEFB129	'DEFB129	protein_coding
ENSG00000125910	chr19	3172346	3180332	+	7987	S1PR4	'S1PR4	protein_coding
ENSG00000125912	chr19	3185563	3209575	+	24013	NCLN	'NCLN	protein_coding
ENSG00000125931	chrX	72301638	72307187	-	5550	CITED1	'CITED1	protein_coding
ENSG00000125944	chr1	23303771	23344336	-	40566	HNRNPR	'HNRNPR	protein_coding
ENSG00000125945	chr1	23359448	23369836	-	10389	ZNF436	'ZNF436	protein_coding
ENSG00000125952	chr14	65006174	65102695	-	96522	MAX	'MAX	protein_coding
ENSG00000125962	chrX	102599168	102604159	+	4992	ARMCX5	'ARMCX5	protein_coding
ENSG00000125965	chr20	35433347	35454746	-	21400	GDF5	'GDF5	protein_coding
ENSG00000125966	chr20	35226690	35276998	+	50309	MMP24	'MMP24	protein_coding
ENSG00000125967	chr20	33657087	33674463	-	17377	NECAB3	'NECAB3	protein_coding
ENSG00000125968	chr20	31605283	31606515	+	1233	ID1	'ID1	protein_coding
ENSG00000125970	chr20	33993646	34108308	+	114663	RALY	'RALY	protein_coding
ENSG00000125971	chr20	34516409	34540958	+	24550	DYNLRB1	'DYNLRB1	protein_coding
ENSG00000125975	chr20	35523186	35529652	-	6467	C20orf173	'C20orf173	protein_coding
ENSG00000125977	chr20	34088309	34112243	-	23935	EIF2S2	'EIF2S2	protein_coding
ENSG00000125991	chr20	35542021	35557634	+	15614	ERGIC3	'ERGIC3	protein_coding
ENSG00000125995	chr20	35699272	35700984	+	1713	ROMO1	'ROMO1	protein_coding
ENSG00000125998	chr20	35285731	35292425	-	6695	FAM83C	'FAM83C	protein_coding
ENSG00000125999	chr20	33273480	33309871	+	36392	BPIFB1	'BPIFB1	protein_coding
ENSG00000126001	chr20	35455164	35519280	+	64117	CEP250	'CEP250	protein_coding
ENSG00000126003	chr20	32192504	32207743	-	15240	PLAGL2	'PLAGL2	protein_coding
ENSG00000126005	chr20	35201745	35278131	-	76387	MMP24OS	'MMP24OS	protein_coding
ENSG00000126010	chrX	16123565	16153518	+	29954	GRPR	'GRPR	protein_coding
ENSG00000126012	chrX	53191321	53225422	-	34102	KDM5C	'KDM5C	protein_coding
ENSG00000126016	chrX	112774503	112840815	-	66313	AMOT	'AMOT	protein_coding
ENSG00000126062	chr3	50354750	50359521	-	4772	TMEM115	'TMEM115	protein_coding
ENSG00000126067	chr1	35599541	35641526	-	41986	PSMB2	'PSMB2	protein_coding
ENSG00000126070	chr1	35930718	36072500	+	141783	AGO3	'AGO3	protein_coding
ENSG00000126088	chr1	45010950	45015575	+	4626	UROD	'UROD	protein_coding
ENSG00000126091	chr1	43705824	43931165	+	225342	ST3GAL3	'ST3GAL3	protein_coding
ENSG00000126106	chr1	44635238	44674481	-	39244	TMEM53	'TMEM53	protein_coding
ENSG00000126107	chr1	45002540	45011324	-	8785	HECTD3	'HECTD3	protein_coding
ENSG00000126214	chr14	103561896	103714249	+	152354	KLC1	'KLC1	protein_coding
ENSG00000126215	chr14	103697609	103715504	-	17896	XRCC3	'XRCC3	protein_coding
ENSG00000126216	chr13	112485011	112588205	-	103195	TUBGCP3	'TUBGCP3	protein_coding
ENSG00000126217	chr13	112894378	113099742	+	205365	MCF2L	'MCF2L	protein_coding
ENSG00000126218	chr13	113122799	113149529	+	26731	F10	'F10	protein_coding
ENSG00000126226	chr13	113177536	113208715	-	31180	PCID2	'PCID2	protein_coding
ENSG00000126231	chr13	113158648	113172386	+	13739	PROZ	'PROZ	protein_coding
ENSG00000126233	chr8	142740949	142742406	-	1458	SLURP1	'SLURP1	protein_coding
ENSG00000126243	chr19	35935358	35945767	+	10410	LRFN3	'LRFN3	protein_coding
ENSG00000126246	chr19	35738801	35742453	-	3653	IGFLR1	'IGFLR1	protein_coding
ENSG00000126247	chr19	36139953	36150353	+	10401	CAPNS1	'CAPNS1	protein_coding
ENSG00000126249	chr19	34404399	34426168	+	21770	PDCD2L	'PDCD2L	protein_coding
ENSG00000126251	chr19	35370929	35372962	+	2034	GPR42	'GPR42	protein_coding
ENSG00000126254	chr19	35629030	35637686	+	8657	RBM42	'RBM42	protein_coding
ENSG00000126259	chr19	35855861	35867109	+	11249	KIRREL2	'KIRREL2	protein_coding
ENSG00000126261	chr19	34428352	34471251	+	42900	UBA2	'UBA2	protein_coding
ENSG00000126262	chr19	35443907	35451767	+	7861	FFAR2	'FFAR2	protein_coding
ENSG00000126264	chr19	35902529	35904377	+	1849	HCST	'HCST	protein_coding
ENSG00000126266	chr19	35351552	35353862	+	2311	FFAR1	'FFAR1	protein_coding
ENSG00000126267	chr19	35648323	35658782	+	10460	COX6B1	'COX6B1	protein_coding
ENSG00000126337	chr17	41486136	41492546	-	6411	KRT36	'KRT36	protein_coding
ENSG00000126351	chr17	40058290	40093867	+	35578	THRA	'THRA	protein_coding
ENSG00000126353	chr17	40553769	40565472	-	11704	CCR7	'CCR7	protein_coding
ENSG00000126368	chr17	40092793	40100589	-	7797	NR1D1	'NR1D1	protein_coding
ENSG00000126391	chr11	65386621	65413525	+	26905	FRMD8	'FRMD8	protein_coding
ENSG00000126432	chr11	64318121	64321811	+	3691	PRDX5	'PRDX5	protein_coding
ENSG00000126453	chr19	49665142	49673916	+	8775	BCL2L12	'BCL2L12	protein_coding
ENSG00000126456	chr19	49659569	49665875	-	6307	IRF3	'IRF3	protein_coding
ENSG00000126457	chr19	49675786	49689029	+	13244	PRMT1	'PRMT1	protein_coding
ENSG00000126458	chr19	49635292	49640143	-	4852	RRAS	'RRAS	protein_coding
ENSG00000126460	chr19	49580646	49591004	+	10359	PRRG2	'PRRG2	protein_coding
ENSG00000126461	chr19	49642209	49658642	+	16434	SCAF1	'SCAF1	protein_coding
ENSG00000126464	chr19	49591182	49626439	+	35258	PRR12	'PRR12	protein_coding
ENSG00000126467	chr19	49739753	49763306	-	23554	TSKS	'TSKS	protein_coding
ENSG00000126500	chr11	64103188	64119173	+	15986	FLRT1	'FLRT1	protein_coding
ENSG00000126522	chr7	66075800	66094697	+	18898	ASL	'ASL	protein_coding
ENSG00000126524	chr7	66987680	66995587	-	7908	SBDS	'SBDS	protein_coding
ENSG00000126545	chr4	69931068	69946574	+	15507	CSN1S1	'CSN1S1	protein_coding
ENSG00000126549	chr4	69995931	70002570	+	6640	STATH	'STATH	protein_coding
ENSG00000126550	chr4	70050438	70058848	+	8411	HTN1	'HTN1	protein_coding
ENSG00000126561	chr17	42287547	42311943	+	24397	STAT5A	'STAT5A	protein_coding
ENSG00000126562	chr17	42780610	42797066	+	16457	WNK4	'WNK4	protein_coding
ENSG00000126581	chr17	42810134	42833350	-	23217	BECN1	'BECN1	protein_coding
ENSG00000126583	chr19	53879190	53907652	+	28463	PRKCG	'PRKCG	protein_coding
ENSG00000126602	chr16	3651639	3717553	-	65915	TRAP1	'TRAP1	protein_coding
ENSG00000126603	chr16	4314761	4339597	+	24837	GLIS2	'GLIS2	protein_coding
ENSG00000126653	chr17	30115521	30186475	+	70955	NSRP1	'NSRP1	protein_coding
ENSG00000126698	chr1	28199456	28233029	-	33574	DNAJC8	'DNAJC8	protein_coding
ENSG00000126705	chr1	27534035	27604431	-	70397	AHDC1	'AHDC1	protein_coding
ENSG00000126709	chr1	27666064	27672198	-	6135	IFI6	'IFI6	protein_coding
ENSG00000126733	chrX	86148451	86832604	+	684154	DACH2	'DACH2	protein_coding
ENSG00000126746	chr12	6666477	6689572	-	23096	ZNF384	'ZNF384	protein_coding
ENSG00000126749	chr12	6970913	6997428	+	26516	EMG1	'EMG1	protein_coding
ENSG00000126752	chrX	48255317	48267444	+	12128	SSX1	'SSX1	protein_coding
ENSG00000126756	chrX	47651796	47659180	-	7385	UXT	'UXT	protein_coding
ENSG00000126759	chrX	47623172	47630305	-	7134	CFP	'CFP	protein_coding
ENSG00000126767	chrX	47635521	47650604	-	15084	ELK1	'ELK1	protein_coding
ENSG00000126768	chrX	48893447	48898143	-	4697	TIMM17B	'TIMM17B	protein_coding
ENSG00000126773	chr14	60091911	60169133	+	77223	PCNX4	'PCNX4	protein_coding
ENSG00000126775	chr14	55366392	55411858	-	45467	ATG14	'ATG14	protein_coding
ENSG00000126777	chr14	55559072	55701526	+	142455	KTN1	'KTN1	protein_coding
ENSG00000126778	chr14	60643421	60658259	-	14839	SIX1	'SIX1	protein_coding
ENSG00000126785	chr14	63204114	63293508	+	89395	RHOJ	'RHOJ	protein_coding
ENSG00000126787	chr14	55148112	55191608	-	43497	DLGAP5	'DLGAP5	protein_coding
ENSG00000126790	chr14	59460363	59484408	-	24046	L3HYPDH	'L3HYPDH	protein_coding
ENSG00000126803	chr14	64535905	64546173	+	10269	HSPA2	'HSPA2	protein_coding
ENSG00000126804	chr14	64503712	64533690	+	29979	ZBTB1	'ZBTB1	protein_coding
ENSG00000126814	chr14	60971441	60981170	-	9730	TRMT5	'TRMT5	protein_coding
ENSG00000126821	chr14	63684216	63728065	-	43850	SGPP1	'SGPP1	protein_coding
ENSG00000126822	chr14	64704102	64750249	+	46148	PLEKHG3	'PLEKHG3	protein_coding
ENSG00000126838	chr12	9148840	9208395	-	59556	PZP	'PZP	protein_coding
ENSG00000126856	chr16	90056566	90092072	-	35507	PRDM7	'PRDM7	protein_coding
ENSG00000126858	chr17	32142454	32253374	+	110921	RHOT1	'RHOT1	protein_coding
ENSG00000126860	chr17	31317560	31321884	-	4325	EVI2A	'EVI2A	protein_coding
ENSG00000126861	chr17	31272013	31297539	-	25527	OMG	'OMG	protein_coding
ENSG00000126870	chr7	158856558	158956747	+	100190	WDR60	'WDR60	protein_coding
ENSG00000126878	chr9	131096476	131123152	+	26677	AIF1L	'AIF1L	protein_coding
ENSG00000126882	chr9	131258076	131276510	-	18435	FAM78A	'FAM78A	protein_coding
ENSG00000126883	chr9	131125586	131234663	+	109078	NUP214	'NUP214	protein_coding
ENSG00000126890	chrX	154651972	154653579	-	1608	CTAG2	'CTAG2	protein_coding
ENSG00000126895	chrX	153902531	153907166	+	4636	AVPR2	'AVPR2	protein_coding
ENSG00000126903	chrX	154487306	154490690	-	3385	SLC10A3	'SLC10A3	protein_coding
ENSG00000126934	chr19	4090321	4124129	-	33809	MAP2K2	'MAP2K2	protein_coding
ENSG00000126945	chrX	101408222	101414133	+	5912	HNRNPH2	'HNRNPH2	protein_coding
ENSG00000126947	chrX	101550547	101554700	+	4154	ARMCX1	'ARMCX1	protein_coding
ENSG00000126950	chrX	101078879	101096367	+	17489	TMEM35A	'TMEM35A	protein_coding
ENSG00000126952	chrX	101832112	101857577	-	25466	NXF5	'NXF5	protein_coding
ENSG00000126953	chrX	101345661	101348742	-	3082	TIMM8A	'TIMM8A	protein_coding
ENSG00000126970	chrX	64915802	65034713	-	118912	ZC4H2	'ZC4H2	protein_coding
ENSG00000127022	chr5	179678628	179731641	+	53014	CANX	'CANX	protein_coding
ENSG00000127054	chr1	1311585	1324691	-	13107	INTS11	'INTS11	protein_coding
ENSG00000127074	chr1	192636138	192660306	+	24169	RGS13	'RGS13	protein_coding
ENSG00000127080	chr9	92613183	92670131	-	56949	IPPK	'IPPK	protein_coding
ENSG00000127081	chr9	92844182	92878038	-	33857	ZNF484	'ZNF484	protein_coding
ENSG00000127083	chr9	92414245	92424461	-	10217	OMD	'OMD	protein_coding
ENSG00000127084	chr9	92947523	93036236	+	88714	FGD3	'FGD3	protein_coding
ENSG00000127124	chr1	41506365	42035925	-	529561	HIVEP3	'HIVEP3	protein_coding
ENSG00000127125	chr1	42456117	42473385	+	17269	PPCS	'PPCS	protein_coding
ENSG00000127129	chr1	41478775	41484683	-	5909	EDN2	'EDN2	protein_coding
ENSG00000127152	chr14	99169287	99272197	-	102911	BCL11B	'BCL11B	protein_coding
ENSG00000127184	chr5	86617928	86620962	+	3035	COX7C	'COX7C	protein_coding
ENSG00000127191	chr9	136881912	136926607	+	44696	TRAF2	'TRAF2	protein_coding
ENSG00000127220	chr19	17292131	17310236	-	18106	ABHD8	'ABHD8	protein_coding
ENSG00000127241	chr3	187217285	187292022	-	74738	MASP1	'MASP1	protein_coding
ENSG00000127249	chr3	193398967	193593111	-	194145	ATP13A4	'ATP13A4	protein_coding
ENSG00000127252	chr3	193241128	193277738	+	36611	PLAAT1	'PLAAT1	protein_coding
ENSG00000127311	chr12	66302545	66347645	+	45101	HELB	'HELB	protein_coding
ENSG00000127314	chr12	68610855	68671901	+	61047	RAP1B	'RAP1B	protein_coding
ENSG00000127318	chr12	68248242	68253604	-	5363	IL22	'IL22	protein_coding
ENSG00000127324	chr12	71125085	71441898	-	316814	TSPAN8	'TSPAN8	protein_coding
ENSG00000127325	chr12	69643360	69699476	-	56117	BEST3	'BEST3	protein_coding
ENSG00000127328	chr12	69738681	69823204	+	84524	RAB3IP	'RAB3IP	protein_coding
ENSG00000127329	chr12	70515866	70637440	-	121575	PTPRB	'PTPRB	protein_coding
ENSG00000127334	chr12	67648338	67665406	+	17069	DYRK2	'DYRK2	protein_coding
ENSG00000127337	chr12	69359710	69390870	+	31161	YEATS4	'YEATS4	protein_coding
ENSG00000127362	chr7	141764097	141765197	+	1101	TAS2R3	'TAS2R3	protein_coding
ENSG00000127364	chr7	141778442	141780819	+	2378	TAS2R4	'TAS2R4	protein_coding
ENSG00000127366	chr7	141790217	141791367	+	1151	TAS2R5	'TAS2R5	protein_coding
ENSG00000127377	chr7	151428835	151440813	-	11979	CRYGN	'CRYGN	protein_coding
ENSG00000127399	chr7	150323263	150338156	+	14894	LRRC61	'LRRC61	protein_coding
ENSG00000127412	chr7	142908101	142933746	-	25646	TRPV5	'TRPV5	protein_coding
ENSG00000127415	chr4	986997	1004564	+	17568	IDUA	'IDUA	protein_coding
ENSG00000127418	chr4	1009936	1026898	+	16963	FGFRL1	'FGFRL1	protein_coding
ENSG00000127419	chr4	932387	958656	+	26270	TMEM175	'TMEM175	protein_coding
ENSG00000127423	chr1	25831913	25859458	-	27546	AUNIP	'AUNIP	protein_coding
ENSG00000127445	chr19	9835257	9849682	+	14426	PIN1	'PIN1	protein_coding
ENSG00000127452	chr19	9810267	9827816	-	17550	FBXL12	'FBXL12	protein_coding
ENSG00000127463	chr1	19215660	19251527	-	35868	EMC1	'EMC1	protein_coding
ENSG00000127472	chr1	20028179	20091911	+	63733	PLA2G5	'PLA2G5	protein_coding
